DAL,UAL,AAL
18.439054,38.462444,29.637444
19.070009,39.36953,31.722683
19.32428,41.333336,32.649467
19.616215,42.025337,33.421764
20.08708,41.950527,34.618851
19.446701,40.809654,32.659111
18.947584,40.155052,33.527962
19.239521,40.267273,33.721039
19.305441,40.285976,32.919758
19.719807,41.613876,33.75
19.955238,42.80151,34.078232
20.124748,44.213573,33.701729
20.25659,43.886276,34.754002
20.153004,44.12006,33.508648
19.879898,44.17617,33.30592
20.08708,46.037106,34.058918
19.569126,45.092609,33.634155
18.231871,43.540272,33.373501
17.506739,42.595776,32.32122
16.998209,42.361992,31.54891
16.78161,41.277225,29.936712
17.280725,41.557766,29.386444
17.77984,42.679939,29.637444
17.610331,41.90377,30.062212
16.969955,40.66003,28.961668
17.374903,40.631977,30.187716
17.412569,43.128807,30.303562
16.828695,40.977978,28.14109
16.536757,39.865158,27.976973
16.282494,39.706184,28.440357
15.981137,38.967419,27.725973
14.832232,35.647663,24.704302
14.992326,36.059128,25.978621
15.067664,38.004223,25.399384
15.143002,37.817192,25.737272
16.678019,40.061539,27.523239
17.045296,40.987331,29.511946
16.951122,40.875111,28.594824
17.177135,42.558369,29.65675
16.668606,41.370739,28.749289
16.339001,40.959274,27.706667
16.348415,42.371346,28.807207
15.990558,43.100754,29.116131
15.896387,44.391254,29.878792
16.508507,44.746605,31.433064
16.59326,43.90498,30.477329
17.01704,42.913727,30.062212
16.59326,41.782204,28.778246
16.423754,41.75415,28.488632
16.659184,42.745399,30.071869
16.15065,41.333336,28.855478
16.565012,42.100151,28.865133
16.621517,42.885674,29.038902
16.15065,41.97858,28.150742
16.433167,43.128807,28.758942
17.224224,44.690498,29.40575
16.687437,43.792763,28.729975
16.536757,43.02594,28.372784
15.095915,40.426243,25.080805
16.084728,41.249172,25.679348
16.828695,42.80151,25.968964
16.78161,42.80151,25.582809
16.904039,43.512215,25.341463
17.1583,44.681145,26.509583
17.874014,45.625641,27.658394
18.156532,45.130013,28.034897
17.525576,44.0546,28.488632
18.071777,45.260937,28.971325
18.344881,45.447964,29.511946
18.448475,45.859428,30.438719
18.486141,45.541477,29.733978
18.260128,44.522171,28.14109
18.796909,44.718552,29.106478
18.834579,43.558975,27.223967
18.909914,44.690498,27.793547
19.211269,46.439217,27.812857
18.796909,45.850075,26.760584
18.363716,44.765308,25.466961
18.834579,45.008446,25.582809
19.606791,48.150528,27.677702
19.380781,47.009655,27.745283
18.891083,45.457317,26.442001
18.589731,44.213573,26.403389
18.693321,43.596378,26.133078
19.474953,45.055202,27.484625
19.587961,44.793365,26.702658
19.022924,44.026546,25.911041
18.76866,42.577072,24.984266
18.373129,42.390049,24.279533
17.431402,40.66003,22.281179
16.433167,39.28537,21.817795
16.00939,38.752338,21.277172
15.538528,37.695629,20.302132
16.838112,38.359577,21.267519
17.657419,40.678734,22.599756
18.382551,41.305279,22.667334
18.683905,40.454296,22.425987
18.806326,40.126999,21.634365
17.902264,38.11644,19.896666
16.433167,35.71312,18.554777
16.866365,36.470589,19.249855
17.092381,37.620815,19.645666
16.461424,37.200001,18.873354
16.536757,37.97617,18.834742
17.676252,38.808445,20.244205
17.544405,37.517948,19.365702
18.608562,38.284763,20.05113
18.439054,37.228054,19.2402
17.525576,37.387028,18.940933
17.233643,37.527302,17.415621
17.308977,37.994873,16.932924
17.610331,39.640724,17.618349
17.177135,39.21056,18.110697
16.037645,36.461239,16.981194
14.822812,34.114025,14.780104
14.45554,34.188839,15.195222
14.690973,34.38522,15.117992
13.683322,32.552338,14.249143
13.344301,32.37466,14.297412
13.881084,34.132729,14.905606
13.542063,33.234993,14.963531
14.201274,33.431374,14.866989
14.229524,34.57225,15.426916
13.918756,33.786728,15.175916
13.579732,32.542984,14.654605
13.749242,32.253094,14.200871
14.022345,33.34721,14.200871
12.986442,29.915234,12.858981
12.854598,29.6908,12.279748
12.590915,31.000002,11.980475
12.609752,29.18,11.806708
11.08415,24.389999,10.628935
12.732174,26.030001,10.513086
15.048831,32.189999,12.115633
14.577964,32.07,11.478476
14.408454,32.93,11.623283
15.048831,34.57,12.077016
15.067664,34.639999,12.105977
14.304861,33.419998,12.077016
14.257777,32.939999,12.472826
13.984675,31.870001,11.603977
15.048831,36.41,12.685213
15.058245,34.470001,12.221825
15.265425,34.869999,11.864632
15.21834,35.630001,12.868636
15.07708,35.669998,12.646597
15.208922,36,12.916903
15.839881,37.950001,13.360986
17.450237,41.139999,14.857337
16.244823,38.580002,13.959526
16.037645,36.66,14.046408
16.904039,37.669998,14.809068
17.412569,39.549999,14.866989
17.130049,39.959999,14.644952
16.951122,40.110001,14.587029
16.508507,38.830002,14.384297
16.678019,38.59,14.789761
16.056477,37.029999,13.554062
16.310743,37.349998,13.911255
15.792795,35.810001,13.428559
15.830464,37.139999,13.718178
15.265425,35.91,13.447868
15.416102,35.490002,13.013442
15.208922,35.25,13.225829
14.982906,34.950001,13.409254
14.125934,33.23,13.32237
13.268962,31.940001,12.694864
12.572081,30.299999,11.970823
12.223642,29.34,11.575014
12.374319,28.4,12.173553
13.494977,30.17,12.318364
12.713341,28.309999,11.159896
12.138887,28.09,10.609625
11.281913,26.49,9.933851
11.404338,26.83,9.634583
9.539712,24.290001,8.70781
9.906991,24.049999,8.456807
9.040597,22.68,8.003077
8.692158,20.91,7.192149
9.502045,22.57,7.703805
9.822232,23.18,8.138229
9.41729,23.17,8.427845
9.426707,23.639999,8.78504
9.38904,24.129999,8.804348
8.230712,21.99,8.234768
7.863437,21.25,7.916189
8.108287,21.190001,8.273383
8.098869,21.530001,8.601617
8.607402,23.129999,9.296696
8.287215,22.040001,8.85262
8.29663,21.790001,8.929849
8.240128,21.200001,9.103619
8.748662,22.18,9.287042
8.79575,22.73,9.528389
8.390805,21.16,8.534039
9.181858,22.4,8.842961
9.426707,22.9,8.505076
9.869319,23.610001,8.4375
8.626237,22.32,7.86792
8.117705,22.860001,7.771381
8.051784,22.4,7.597611
8.240128,22.85,7.752073
7.722176,21.43,7.558996
6.403758,13.55,6.603261
6.177742,13.95,6.033681
6.836952,15.4,6.815646
6.601521,15.21,6.912185
6.771031,14.81,8.321652
7.759846,14.93,8.649886
8.014114,14.9,8.292693
8.315466,16.1,9.026386
8.004695,15.89,8.418193
7.637421,15,8.032038
7.411406,14.15,7.752073
7.223061,13.82,7.085955
7.128889,13.54,6.796338
7.204227,13.71,6.834954
7.006464,14,6.748068
6.959378,13.71,6.738414
7.486746,14.17,6.999071
7.392573,14.38,7.356264
7.062967,13.81,7.530033
6.733362,12.42,7.056993
6.497929,11.56,6.632223
5.433776,8.15,5.164831
5.433776,8.15,5.03933
5.179509,7.52,4.035326
5.575035,8.18,4.286327
5.320768,7.91,3.938787
5.782216,8.39,4.170481
5.791633,8.54,3.822941
5.509114,7.88,3.629863
5.744546,8.53,3.91948
5.744546,9.14,4.04498
6.441427,10.11,4.26702
5.932893,8.64,3.977402
5.735129,8.28,3.784325
5.584452,8.25,3.649171
5.047668,7.22,3.089245
4.840486,6.31,2.596896
5.009998,6.86,2.761013
5.236013,7.19,3.00236
5.396107,7,3.147168
5.132423,6.55,2.905821
6.008231,8.11,3.417477
5.34902,7.16,3.040976
4.708645,6.09,2.452088
4.953496,6.01,2.355549
5.00058,5.75,2.490704
5.14184,5.56,2.365203
5.198344,5.56,2.365203
5.367854,5.22,2.413472
5.207761,4.6,2.326588
4.614472,4.01,2.287971
4.661559,3.86,2.316934
4.595638,4.19,2.384511
5.499697,4.75,2.60655
4.97233,4.41,2.519665
4.887573,4.17,2.336241
4.642724,3.63,2.104548
4.369622,3.43,1.843893
4.397875,3.13,1.699085
5.565618,4.43,2.162472
6.413175,5.07,2.442434
6.526181,5.45,2.770667
6.177742,4.99,2.596896
7.26073,8.41,4.122211
8.098869,9.35,4.884868
6.403758,7.45,4.363559
6.912291,7.65,4.382866
6.497929,7.01,4.025672
7.449077,8.51,4.682137
6.771031,7.9,4.701444
7.100637,8.31,4.884868
7.251313,8.2,4.981407
7.646838,8.93,5.483408
8.193041,10.24,6.468106
8.221292,10.1,6.429491
8.277797,9.61,6.535684
8.588568,11.13,7.684497
8.79575,12.27,8.099614
8.701575,13.3,9.065001
7.854017,12.06,8.794694
